PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
423_p-PKCzeta-lambda._Y410-403_,0.000000,0.326513,0.313742,0.328410,0.313742,0.061368,0.000001,1.040707,1.912,1.913,0.000,1,0.5,53
424_p-Raf._S259_,0.000000,0.474214,0.209485,0.480189,0.209485,0.041463,0.000001,2.263714,12.867,12.868,0.000,1,0.5,53
425_p-Raf._S338_,0.000000,1.080920,0.389021,1.095627,0.389022,0.077619,0.000001,2.778560,-3.169,-3.168,0.000,1,0.5,53
426_p-S6.ribosomal.protein._S240-244_,0.012502,0.667548,0.375196,0.681809,0.387698,0.076726,0.032248,1.722668,-3.362,-3.363,0.000,1,0.4923,53
427_SETD2,0.000000,0.277668,0.271088,0.266026,0.271088,0.053004,0.000001,1.024270,2.362,2.576,0.000,1,0.5,52
428_SYNE2,0.343636,0.934363,0.000000,0.947045,0.343636,0.072261,0.999999,2.755952,-1.740,-2.006,0.533,1,0.2327,46
429_ZNF207,0.000000,0.329309,0.290453,0.322822,0.290453,0.056446,0.000001,1.133776,2.583,2.629,0.000,1,0.5,53
430_ZNF253,0.000000,0.476034,0.323865,0.474546,0.323865,0.064434,0.000001,1.469852,0.747,0.751,0.000,1,0.5,51
431_ZNF414,0.226404,0.308373,0.000000,0.307201,0.226405,0.044405,0.999999,1.356867,10.353,10.075,0.558,1,0.2276,53
432_ZNF433,0.335198,1.242949,0.000000,1.254218,0.335199,0.065792,0.999999,3.741717,-0.800,-0.891,0.182,1,0.3347,53
433_ZNF701,0.357068,0.568125,0.000000,0.564796,0.357069,0.070029,0.999999,1.581757,-1.445,-1.504,0.117,1,0.3661,53
434_ZNF775,0.267583,0.818242,0.000000,0.827064,0.267583,0.052514,0.999999,3.090869,5.027,4.871,0.313,1,0.288,53
435_CREB5,0.039126,0.059687,0.000000,0.059975,0.039126,0.007674,0.999999,1.532869,55.788,55.430,0.716,1,0.1987,53
436_TLX2,0.052692,0.066179,0.000000,0.065524,0.052692,0.010538,0.999999,1.243511,46.389,46.143,0.493,1,0.2413,51
437_ZSCAN16,0.039799,0.123449,0.000000,0.125313,0.039799,0.007813,0.999999,3.148628,53.646,53.450,0.392,1,0.2657,53
438_ZNF688,0.000000,0.038019,0.017001,0.038217,0.017001,0.003339,0.000001,2.236254,78.017,78.017,0.000,1,0.5,53
439_AATF,0.038378,0.053161,0.000000,0.052731,0.038378,0.007527,0.999999,1.374006,56.547,56.420,0.254,1,0.3072,53
440_DIDO1,0.000000,0.171387,0.097574,0.174217,0.097575,0.019261,0.000001,1.756467,32.638,32.638,0.000,1,0.5,53
441_MYST4,0.000000,0.067790,0.068431,0.069896,0.068431,0.013452,0.000001,0.990638,41.776,41.776,0.000,1,0.5,53
