PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
ENSG00000006625,0.000000,0.004074,0.008163,0.003763,0.008163,0.001795,0.000001,0.499099,72.371,72.689,0.000,1,0.5,42
ENSG00000006712,0.000000,0.017570,0.029914,0.018010,0.029914,0.006596,0.000001,0.587364,49.206,49.209,0.000,1,0.5,42
ENSG00000006715,0.025981,0.054885,0.000000,0.054825,0.025981,0.012121,0.999999,2.110193,10.659,10.371,0.576,1,0.2239,10
ENSG00000006757,0.019919,0.058335,0.028961,0.058877,0.048880,0.015859,0.407500,1.187315,17.625,17.566,0.117,1,0.3664,20
ENSG00000007080,0.005869,0.003884,0.002724,0.003079,0.008594,0.002003,0.682990,0.375071,76.295,75.745,1.100,1,0.1471,42
ENSG00000007168,0.000175,0.001368,0.002904,0.001506,0.003080,0.000680,0.056870,0.443951,96.178,96.170,0.017,1,0.4486,42
ENSG00000007237,0.000000,0.274868,0.188451,0.261286,0.188451,0.069990,0.000001,1.458561,2.271,2.344,0.000,1,0.5,15
ENSG00000007312,0.000000,0.079192,0.033837,0.080947,0.033837,0.011069,0.000001,2.340416,21.252,21.252,0.000,1,0.5,20
ENSG00000007392,0.000000,0.030447,0.075061,0.033641,0.075061,0.016568,0.000001,0.405627,30.590,30.590,0.000,1,0.5,42
ENSG00000007923,0.000780,0.007319,0.017447,0.008269,0.018227,0.004026,0.042807,0.401432,59.726,59.719,0.014,1,0.4535,42
ENSG00000008018,0.000000,0.003638,0.007139,0.003869,0.007139,0.001576,0.000001,0.509572,78.827,78.827,0.000,1,0.5,42
ENSG00000008128,0.002974,0.003260,0.004689,0.003094,0.007663,0.001715,0.388086,0.402668,77.797,77.372,0.849,1,0.1784,42
ENSG00000008282,0.038194,0.022376,0.014006,0.017031,0.052200,0.012196,0.731681,0.341277,39.522,38.534,1.975,1,0.07997,42
ENSG00000008294,0.000463,0.003756,0.008846,0.004226,0.009309,0.002056,0.049771,0.403244,73.500,73.491,0.018,1,0.4463,42
ENSG00000008710,0.000000,0.078326,0.073963,0.072726,0.073963,0.022642,0.000001,1.058992,13.292,13.463,0.000,1,0.5,22
ENSG00000008838,0.009903,0.008584,0.000000,0.007831,0.009903,0.003502,0.999999,0.790740,27.591,26.434,2.313,1,0.06414,17
ENSG00000008869,0.091889,0.044035,0.000000,0.032781,0.091889,0.022764,0.999999,0.356744,25.671,23.434,4.474,1,0.01721,37
ENSG00000008952,0.000000,0.019621,0.036151,0.020543,0.036151,0.007976,0.000001,0.542757,45.499,45.500,0.000,1,0.5,42
ENSG00000008988,0.000000,0.002622,0.004102,0.002649,0.004102,0.000904,0.000001,0.639094,89.788,89.794,0.000,1,0.5,42
ENSG00000009307,0.000000,0.003658,0.008063,0.003997,0.008063,0.001780,0.000001,0.453647,76.391,76.391,0.000,1,0.5,42
ENSG00000009335,0.000000,0.012987,0.020584,0.012438,0.020584,0.005206,0.000001,0.630923,41.236,41.325,0.000,1,0.5,32
ENSG00000009790,0.000000,0.017839,0.035032,0.019495,0.035032,0.008036,0.000001,0.509224,42.841,42.841,0.000,1,0.5,39
ENSG00000009844,0.000000,0.005050,0.011091,0.005514,0.011091,0.002448,0.000001,0.455337,69.855,69.855,0.000,1,0.5,42
ENSG00000009954,0.002105,0.001705,0.001729,0.001473,0.003834,0.000874,0.548983,0.396743,92.376,91.802,1.147,1,0.142,42
ENSG00000010017,0.051001,0.035691,0.012430,0.029747,0.063431,0.018208,0.804043,0.475284,20.681,19.601,2.160,1,0.07083,26
ENSG00000010165,0.000000,0.021958,0.036141,0.023751,0.036141,0.008297,0.000001,0.607549,42.255,42.255,0.000,1,0.5,39
ENSG00000010244,0.000000,0.009569,0.017654,0.010290,0.017654,0.003899,0.000001,0.542016,60.377,60.377,0.000,1,0.5,42
ENSG00000010256,0.001923,0.003598,0.005359,0.003579,0.007282,0.001620,0.264123,0.483584,78.659,78.565,0.188,1,0.3324,42
ENSG00000010270,0.000824,0.013963,0.022975,0.014960,0.023798,0.005533,0.034605,0.586704,48.834,48.833,0.002,1,0.4827,38
ENSG00000010292,0.000000,0.005483,0.013634,0.005928,0.013634,0.003008,0.000001,0.402117,65.336,65.339,0.000,1,0.5,42
ENSG00000010671,0.000000,0.004194,0.009091,0.004533,0.009091,0.002007,0.000001,0.461348,73.879,73.880,0.000,1,0.5,42
ENSG00000011007,0.007039,0.003056,0.000859,0.001972,0.007898,0.001868,0.891205,0.257708,79.124,76.590,5.067,1,0.01219,42
ENSG00000011009,0.000000,0.010062,0.015296,0.010634,0.015296,0.003379,0.000001,0.657829,63.328,63.328,0.000,1,0.5,42
ENSG00000011243,0.015262,0.007903,0.004445,0.005784,0.019707,0.004782,0.774438,0.304492,53.655,51.318,4.676,1,0.0153,38
ENSG00000011260,0.000000,0.011060,0.019309,0.012098,0.019309,0.004904,0.000001,0.572826,43.949,43.949,0.000,1,0.5,32
ENSG00000011295,0.000000,1.051217,0.045593,1.086529,0.045593,0.040448,0.000001,23.056439,12.076,12.140,0.000,1,0.5,13
ENSG00000011304,0.000021,0.002156,0.004260,0.002370,0.004281,0.000946,0.004986,0.503519,89.428,89.428,0.000,1,0.4966,42
ENSG00000011376,0.006930,0.004553,0.004056,0.003721,0.010987,0.002519,0.630793,0.351458,71.059,70.028,2.061,1,0.07553,42
ENSG00000011405,0.035041,0.045409,0.000000,0.043916,0.035041,0.013720,0.999999,1.253284,13.908,13.396,1.024,1,0.1557,14
ENSG00000011451,0.082796,0.048555,0.013112,0.035726,0.095909,0.025091,0.863283,0.383081,21.727,20.260,2.934,1,0.04338,34
ENSG00000011454,0.000000,0.008336,0.021052,0.008523,0.021052,0.004758,0.000001,0.395986,52.609,52.652,0.000,1,0.5,40
ENSG00000011485,0.000000,0.003259,0.008253,0.003456,0.008253,0.001820,0.000001,0.394833,75.319,75.329,0.000,1,0.5,42
ENSG00000012223,0.084359,0.172149,0.105500,0.167583,0.189859,0.049319,0.444324,0.886771,8.238,8.206,0.063,1,0.4011,31
ENSG00000012779,0.134596,0.098170,0.082085,0.084046,0.216680,0.051607,0.621171,0.397326,8.568,7.671,1.794,1,0.0902,38
ENSG00000012963,0.000000,0.018468,0.036748,0.018920,0.036748,0.008101,0.000001,0.502570,44.718,44.727,0.000,1,0.5,42
ENSG00000013016,0.006796,0.019460,0.025053,0.020202,0.031850,0.009208,0.213383,0.604533,27.775,27.699,0.151,1,0.3486,25
ENSG00000013275,0.000352,0.001119,0.002038,0.001177,0.002389,0.000528,0.147182,0.465483,101.408,101.364,0.088,1,0.3832,42
ENSG00000013364,0.012410,0.023108,0.036436,0.023193,0.048846,0.010854,0.254072,0.463531,39.631,39.516,0.230,1,0.3158,42
ENSG00000013375,0.019818,0.012234,0.007631,0.009426,0.027449,0.006788,0.721984,0.357893,46.052,44.815,2.474,1,0.05788,37
ENSG00000013503,0.000000,41.005429,0.356063,41.866681,0.356063,1.031920,0.000000,115.163318,3.580,11.793,0.000,1,0.5,11
